LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.2095686,39.9732163,4218,W GIRARD AVE,,,,,19104,886810124,85654afbac7afabf
-75.2066544,39.9478986,613,S 42ND ST,,,,,19104,271203600,b9a3e20483c397eb
-75.2053031,39.9656627,725,N 41ST ST,,,,,19104,061218700,632412683d38a193
-75.2001505,39.9672664,753,N 39TH ST,,,,,19104,243102300,da2ed670e03076bd
-75.2036461,39.9579623,14,N PRESTON ST,,,,,19104,885052660,fc4c197c0b7c4739
-75.2011342,39.964326,647,UNION ST,,,,,19104,242233510,5ab28c878bcc26cc
-75.1961166,39.9601738,3725,LANCASTER AVE,,,,,19104,241142601,eca33105df6a875d
-75.209084,39.9731226,1116,N 42ND ST,,,,,19104,062292400,3ad97086577616ae
-75.1899385,39.9643925,603,N 33RD ST,,,,,19104,242140600,81dea2d01ebeb208
-75.2015886,39.9642893,644,UNION ST,,,,,19104,242237210,5b429bd3d18f39ed
-75.2084293,39.9636986,603,HUTTON ST,,,,,19104,061272700,edb657676f56fff4
-75.1888396,39.9611588,3209,PEARL ST,,,,,19104,241157900,117fb4b8ec301d29
-75.2031196,39.9630308,4007,HAVERFORD AVE,,,,,19104,061048400,839b0224d349262f
-75.1929189,39.9584394,3517,LANCASTER AVE,,,,,19104,871114700,454c6d4ccbce4412
-75.2084661,39.9675269,808,BROOKLYN ST,,,,,19104,062300700,7a6463a015eed690
-75.208726,39.9686999,4222,OGDEN ST,,,,,19104,062071600,ac47713f052c961e
-75.2105766,39.9647035,703,N 44TH ST,,,,,19104,061296010,9803fcff5588fff9
-75.2092156,39.9713733,4218,WYALUSING AVE,,,,,19104,062138310,edcbee599b23777b
-75.1972217,39.9674546,743,N DE KALB ST,,,,,19104,243087600,070c0b01f3501bb0
-75.2006241,39.9644537,3909,WALLACE ST,,,,,19104,242219300,0c680ab76771fa05
-75.209763,39.9633106,4316,WALLACE ST,,,,,19104,061095970,225cc5f80dca13b3
-75.2075721,39.9649062,702,N 42ND ST,,,,,19104,061258200,cdce21084d42b4d5
-75.207866,39.9648837,703,BROOKLYN ST,,,,,19104,061263600,c03065ea8770c33d
-75.2051253,39.9744141,4028,PARKSIDE AVE,,,,,19104,062218900,eaa9b005c4f8713c
-75.2008229,39.9655762,3921,FAIRMOUNT AVE,,,,,19104,243016000,a0bb159bffdc1d8b
-75.2009612,39.9663006,3920,ASPEN ST,,,,,19104,243039000,a1b09bac56995dc1
-75.2096905,39.9743642,1223,N 42ND ST,,,,,19104,062281810,b0a80483caae67c2
