LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,preciselyID,livingSquareFootage,saleAmount,buildingID,buildingType,elevation,maximumElevation,minimumElevation,buildingArea
-75.2064441,39.9611061,447,N 42ND ST,,Philadelphia,University City,West Philadelphia,19104,61245800,915420501e375591,P0000JCD8KE1,2400.0,52000.0,,,,,,
-75.1997442,39.9681559,3842,RENO ST,,Philadelphia,University City,West Philadelphia,19104,243126615,8123f4de47247a00,P0000JCBUH9V,1246.0,,B000CTQ2C9EH,Residential,90.0,90.0,88.0,624.0
-75.2112607,39.9757364,4239,LEIDY AVE,,Philadelphia,University City,West Philadelphia,19104,62201000,248e159f11312b60,P0000JCBUJDG,1524.0,120000.0,B000CTQ2A6FQ,Residential,119.0,121.0,118.0,983.0
-75.1995023,39.967051,3850,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243053500,03cc11739a869840,P0000JCBUH5S,1026.0,1250.0,B000CTRV1FSN,Residential,92.0,93.0,89.0,742.0
-75.2038836,39.9548863,4032,SANSOM ST,,Philadelphia,University City,West Philadelphia,19104,271148000,9810c7f8d787ae9e,P0000JCBUR6Z,1700.0,75000.0,B000CTQ2GOX6,Residential,88.0,88.0,87.0,742.0
-75.2132383,39.9492655,544,S 45TH ST,,Philadelphia,University City,West Philadelphia,19104,461150800,9ffd6cee217c792a,P0000JCBUNWY,2166.0,40000.0,B000CTQ2E82K,Residential,76.0,77.0,75.0,991.0
-75.1922695,39.959792,3428,POWELTON AVE,,Philadelphia,University City,West Philadelphia,19104,881822740,3819071268331a8f,P0000JCD8JXP,3052.0,,B000CTQ2F26N,Residential,102.0,103.0,101.0,1423.0
-75.2030556,39.9504459,405,S 40TH ST,,Philadelphia,University City,West Philadelphia,19104,881601800,5148284ceb32baa1,P0000JCD8L0T,2700.0,200000.0,B000CTQ2ESMB,Residential,89.0,90.0,89.0,1098.0
-75.2046444,39.9634749,4048,WALLACE ST,,Philadelphia,University City,West Philadelphia,19104,886751200,03b24c6b2c3373f2,P0000JCCWKNA,3080.0,,B000CTQ2H8I6,Residential,103.0,104.0,103.0,1457.0
-75.2086408,39.9707282,924,N 42ND ST,,Philadelphia,University City,West Philadelphia,19104,62290100,da98b6c202146d1e,P0000JCBUJ0U,1882.0,80000.0,B000CTQ2C0NG,Residential,114.0,114.0,112.0,984.0
-75.2038598,39.95925,4039,POWELTON AVE,,Philadelphia,University City,West Philadelphia,19104,61019500,0c559f319b83eac0,P0000JCCWJXS,2670.0,12000.0,B000CTQ2E6AM,Residential,98.0,98.0,96.0,1080.0
-75.2127186,39.9763286,1507,BELMONT AVE,,Philadelphia,University City,West Philadelphia,19104,62337800,64f2d815e9b2a032,P0000JCBUJCN,1854.0,,B000CTQ2AVJ8,Residential,117.0,119.0,115.0,855.0
-75.2077341,39.9657047,4206,ASPEN ST,,Philadelphia,University City,West Philadelphia,19104,61148100,067a8ffc35d5358b,P0000JCBUG9Z,1104.0,15000.0,B000CTQ2DPE5,Residential,107.0,107.0,107.0,641.0
-75.2033412,39.9641631,645,N PRESTON ST,,Philadelphia,University City,West Philadelphia,19104,871067250,8f6d1206999c397d,P0000JCBUHMM,2658.0,20000.0,B000CTQ2HCCO,Mixed,107.0,107.0,107.0,921.0
-75.2086089,39.9742369,4136,LEIDY AVE,,Philadelphia,University City,West Philadelphia,19104,62191500,ec7744d537419b5f,P0000JCD8KC1,,16416.0,,,,,,
-75.1940006,39.9673935,3504,MANTUA AVE,,Philadelphia,University City,West Philadelphia,19104,243001900,641e17a30c62ec6a,P0000JCBUDS5,870.0,,B000CTQ2EHXH,Residential,79.0,80.0,78.0,674.0
-75.2044653,39.9522632,4035,SPRUCE ST,,Philadelphia,University City,West Philadelphia,19104,881604504,894a258b5ecfc343,P0000JCCWKLF,6800.0,45000.0,B000CTQ2JW6G,Residential,82.0,83.0,82.0,2392.0
-75.2049703,39.9587325,4076,POWELTON AVE,,Philadelphia,University City,West Philadelphia,19104,61013600,ead199fe1b2a43c9,P0000JCCWJE2,1704.0,163000.0,B000CTQ2F3AF,Residential,93.0,93.0,91.0,954.0
-75.2098963,39.9712966,4244,WYALUSING AVE,,Philadelphia,University City,West Philadelphia,19104,62139600,a2ad9013b96d6f67,P0000JCBUK3T,1214.0,139900.0,B000CTQ2HR88,Residential,120.0,121.0,120.0,812.0
-75.2098669,39.9710833,4235,OTTER ST,,Philadelphia,University City,West Philadelphia,19104,62135100,70c07339cb623098,P0000JCD8JC9,2052.0,395000.0,B000CTQ2HEKV,Residential,116.0,119.0,116.0,955.0
-75.2098129,39.9707717,4234,OTTER ST,,Philadelphia,University City,West Philadelphia,19104,62132200,d85737554b2fcbd9,P0000JCBUK4Q,,57500.0,,,,,,
-75.2097697,39.970572,4249,PENNSGROVE ST,,Philadelphia,University City,West Philadelphia,19104,62129200,229b6bf2433607bf,P0000JCBUK6U,998.0,,B000CTQ2AL9F,Residential,114.0,116.0,114.0,749.0
-75.2056331,39.9733637,4049,CAMBRIDGE ST,,Philadelphia,University City,West Philadelphia,19104,62161200,53c35a6d989aa234,P0000JCD8KDY,,3000.0,,,,,,
-75.2023304,39.9509884,3934,DELANCEY ST,,Philadelphia,University City,West Philadelphia,19104,271087500,5fb3c8c1d9f1c557,P0000JCBULOT,1960.0,240000.0,B000CTQ2EPBO,Residential,93.0,94.0,92.0,630.0
-75.2077467,39.9731636,4135,CAMBRIDGE ST,,Philadelphia,University City,West Philadelphia,19104,62163500,92821e90d1ff3972,P0000JCBUIF2,1984.0,132000.0,B000CTQ2HJHV,Residential,112.0,112.0,110.0,926.0
-75.2123213,39.9689362,888,LEX ST,,Philadelphia,University City,West Philadelphia,19104,62348900,014b0e5140c14054,P0000JCBUGNL,1650.0,35000.0,B000CTQ2GUXN,Business,116.0,117.0,113.0,3358.0
-75.2077205,39.958412,4248,POWELTON AVE,,Philadelphia,University City,West Philadelphia,19104,886546900,61c374d1344f4dee,P0000JCBUE6O,1392.0,9000.0,B000CTQ2GXF0,Residential,86.0,87.0,86.0,818.0
-75.1955753,39.9567784,3677,MARKET ST,,Philadelphia,University City,West Philadelphia,19104,885877422,a3a1bae302fc3e1b,P0000JCPCD2T,,,B000CTQ2FFLS,Business,82.0,87.0,77.0,39462.0
-75.2086967,39.9502236,4236,OSAGE AVE,P2,Philadelphia,University City,West Philadelphia,19104,888270030,225de46e8dd03983,P0000JCDH3EK,,,B000CTRV1PYJ,Mixed,61.0,62.0,59.0,2811.0
-75.2087837,39.950684,4248,OSAGE AVE,4248,Philadelphia,University City,West Philadelphia,19104,888270026,4eadb2a39dd44749,P0000JCBUN7A,1460.0,330000.0,B000CTQ2JDQK,Residential,61.0,62.0,60.0,1316.0
-75.2086967,39.9502236,4236,OSAGE AVE,P11,Philadelphia,University City,West Philadelphia,19104,888270048,a46dbbf9c970d37a,P0000JCDH3EK,,,B000CTRV1PYJ,Mixed,61.0,62.0,59.0,2811.0
-75.2044993,39.9516115,4032,SPRUCE ST,,Philadelphia,University City,West Philadelphia,19104,773151000,f36c0bd24ac27e25,P0000JCCWJRL,4400.0,115000.0,B000CTQ2JPVQ,Mixed,84.0,86.0,82.0,3650.0
